UUID OLD (ILCD 2016),uuid_ecoinvent37
7220ab13-503a-4f45-8242-3abe68c0e706,db4566b1-bd88-427d-92da-2d25879063b9
728a4f8f-b395-421b-8bc2-bf956010fa14,db4566b1-bd88-427d-92da-2d25879063b9
771543d7-d3b3-4245-8a32-1c7737d6028f,db4566b1-bd88-427d-92da-2d25879063b9
7cbbfdc0-f5ba-48ab-a9f6-91310e9d1e0a,db4566b1-bd88-427d-92da-2d25879063b9
7cddf94d-9fd3-4868-a9e4-1ffc73c6b3b6,db4566b1-bd88-427d-92da-2d25879063b9
7eb1a852-bc6d-4f91-ac54-b5eab18ceed7,db4566b1-bd88-427d-92da-2d25879063b9
7fe98f1e-fed2-40ab-bd2f-4f5b92ffc774,db4566b1-bd88-427d-92da-2d25879063b9
81d256fb-51f0-4ed5-8fcf-9995dd690917,db4566b1-bd88-427d-92da-2d25879063b9
82040fe8-7c90-4818-96fa-e4d47c4297aa,db4566b1-bd88-427d-92da-2d25879063b9
89499d12-a13b-4b07-a6e3-7e25c02080ff,db4566b1-bd88-427d-92da-2d25879063b9
8a629526-befa-4063-a9c5-61ed3aedc2bc,db4566b1-bd88-427d-92da-2d25879063b9
8aef6275-4a7f-4440-930c-0178363d9b80,db4566b1-bd88-427d-92da-2d25879063b9
8d9d3970-7acd-4b6a-ad90-7680777d701e,db4566b1-bd88-427d-92da-2d25879063b9
8e685b16-4f3e-40e4-92dc-6aeb995ae220,db4566b1-bd88-427d-92da-2d25879063b9
8ebf40e2-e7c0-407f-88c6-8dc234f9f89d,db4566b1-bd88-427d-92da-2d25879063b9
93c95d98-bbd5-4bfe-ace1-f6f1d92a775f,db4566b1-bd88-427d-92da-2d25879063b9
9458546b-a458-4727-9f65-a120d6492083,db4566b1-bd88-427d-92da-2d25879063b9
94e7c48b-8cce-460b-95ec-5f6b350d127a,db4566b1-bd88-427d-92da-2d25879063b9
953a5b64-55dd-4f2c-9cd8-2e5c33d7a60c,db4566b1-bd88-427d-92da-2d25879063b9
99c8b227-5ea1-44f0-ac0c-ad9402dfb7e9,db4566b1-bd88-427d-92da-2d25879063b9
9a724181-83ca-406e-b7ad-6963f6a60831,db4566b1-bd88-427d-92da-2d25879063b9
9ec42fd9-b2e1-4827-8186-e7e47112c35c,db4566b1-bd88-427d-92da-2d25879063b9
9ec69841-a29d-4583-a23a-44f973fde090,db4566b1-bd88-427d-92da-2d25879063b9
9ecab963-9708-4787-9f64-522358ffa2fa,db4566b1-bd88-427d-92da-2d25879063b9
9edf77ef-a37b-49b4-92d0-83824b09856a,db4566b1-bd88-427d-92da-2d25879063b9
9ff028fa-8d96-44fd-b578-6c5d1180e606,db4566b1-bd88-427d-92da-2d25879063b9
a02a0986-55f2-447b-9a0e-235230e8a3cd,db4566b1-bd88-427d-92da-2d25879063b9
a10b55d1-8b5d-46f9-b1a7-20732e07e4a0,db4566b1-bd88-427d-92da-2d25879063b9
a3611eea-7bf9-46a8-ab53-f3ae19d80c9e,db4566b1-bd88-427d-92da-2d25879063b9
a4b80eb9-5a6a-4d92-9c50-15cc74e5c2d1,db4566b1-bd88-427d-92da-2d25879063b9
a4b98d25-dfc6-493c-8478-c6020e9d1fe2,db4566b1-bd88-427d-92da-2d25879063b9
a699eca5-832d-46e4-a40d-770f952244dd,db4566b1-bd88-427d-92da-2d25879063b9
